asset_id,ticker,name,category,subcategory,issuer_cik,series_name,offering_date,offering_price,shares,market_cap_usd,last_price_usd,source_url,source_confidence,rarity_score,status,notes,exit_date,exit_price_per_share,exit_value_total,exit_type
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,,,2021-11-01,13.25,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-11.,,,,
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,,,2022-02-01,6.0,5000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2022-02.,,,,
rally-macallan3,MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,,,2022-07-01,5.0,4100,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2022-07.,,,,
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,,,2021-10-01,20.0,30000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-10.,,,,
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,2021-02-01,5.0,6000,,,,1.0,0.5,trading,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.,,,,
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,,,2022-08-01,7.0,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2022-08.,,,,
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,,,2020-12-01,27.0,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-12.,,,,
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,,,2021-04-01,5.0,6000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2021-04.,,,,
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,,,2019-11-01,8.9,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2019-11.,,,,
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,,,2019-11-01,17.25,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2019-11.,,,,
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,2020-04-01,12.75,2000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-04.,,,,
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,,,2020-09-01,56.0,1000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-09.,,,,
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,2024-12-01,68.75,200000,,,,1.0,0.5,sold,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.,,,,
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,2020-11-01,5.0,33000,,,,1.0,0.5,trading,Currently trading. Submitted offering_date was 2020-11.,,,,
