asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_market_cap_usd,source_notes
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,,,,,,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),,2020-12-01,39000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,,,,,,Gone with the Wind (Inscribed First Printing),,2022-02-01,25000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2022-02.
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,,,,,,H.G. Wells - The Time Machine (Inscribed First Edition),,2021-06-01,46500.0,,,,,,7500.0,,trading,,,Currently trading. Submitted offering_date was 2021-06.
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,Hermes,Birkin,,30,,Himalaya,,2020-05-01,140000.0,93800.0,,46.9,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-05.
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,,,,,,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,,2021-12-01,25000.0,,,,,,2500.0,,trading,,,Currently trading. Submitted offering_date was 2021-12.
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,,,,,,Mark Twain - Adventures of Huckleberry Finn (First Edition),,2021-04-01,22000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,,,,,,"Isaac Asimov - I, Robot (First Edition)",,2022-01-01,8000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2022-01.
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,,,,,,Dr. Jekyll and Mr. Hyde (First Edition),,2022-08-01,20000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.
rally-karuizawa,KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,,,,,,Karuizawa Aqua of Life 50-Year-Old Whisky,,2021-11-01,65000.0,42250.0,,3.25,,,13000.0,,trading,,,Currently trading. Submitted offering_date was 2021-11.
rally-keller,KELLER,Helen Keller 1892 Book (Inscribed),books,rare books,,,,,,Helen Keller 1892 Book (Inscribed),,2022-03-01,15000.0,,,,,,3000.0,,trading,,,Currently trading. Submitted offering_date was 2022-03.
rally-kerouac,KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,,,,,,Jack Kerouac - On the Road (Signed First Edition),,2020-12-01,98000.0,,,,,,4900.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-lotf,LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,,,,,,William Golding - Lord of the Flies (First Edition),,2022-03-01,14000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-03.
rally-lotr,LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,,,,,,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),,2020-06-01,29000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,,,,,,Macallan 30-Year-Old Blue Label Scotch Whisky,,2021-11-01,13250.0,12500.0,,12.5,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2021-11.
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,,,,,,Macallan 40-Year-Old Whisky,,2022-02-01,30000.0,29000.0,,5.8,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2022-02.
rally-macallan3,MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,,,1938.0,,,Macallan Red Ribbon Whisky,,2022-07-01,20500.0,25830.0,,6.3,,,4100.0,,trading,,,Currently trading. Submitted offering_date was 2022-07.
rally-marx,MARX,Karl Marx - Das Kapital (First Edition),books,rare books,,,,,,Karl Marx - Das Kapital (First Edition),,2021-10-01,120000.0,,,,,,8000.0,,trading,,,Currently trading. Submitted offering_date was 2021-10.
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,,,,,,Megalodon Fossil,,2021-10-01,600000.0,178500.0,,5.95,,,30000.0,,trading,,,Currently trading. Submitted offering_date was 2021-10.
rally-mobydick,MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,,,,,,Herman Melville - Moby-Dick (First Edition),,2022-01-01,70000.0,,,,,,10000.0,,trading,,,Currently trading. Submitted offering_date was 2022-01.
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,,,,Mosasaur,,2021-02-01,30000.0,34200.0,,5.7,,,6000.0,,trading,,,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.
rally-newton,NEWTON,Isaac Newton - Principia (First Edition),books,rare books,,,,,,Isaac Newton - Principia (First Edition),,2021-05-01,300000.0,,,,,,30000.0,,trading,,,Currently trading. Submitted offering_date was 2021-05.
rally-newworld,NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,,,,,,Aldous Huxley - Brave New World (First Edition),,2022-01-01,14000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-01.
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,,,,,,Pappy Van Winkle Bourbon Assortment,,2022-08-01,14000.0,65100.0,,32.55,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,Hermes,Kelly,,35,,Picnic,,2020-12-01,54000.0,26600.0,,13.3,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-rabbit,RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,,,,,,The Tale of Peter Rabbit (First Edition),,2022-08-01,46000.0,,,,,,10000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,Rolex,,1965.0,,,1601 Datejust Joyera Riviera,,2021-04-01,30000.0,19800.0,,3.3,,,6000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,Rolex,,,,,GMT-Master II Pepsi Jubilee,,2019-11-01,17800.0,20000.0,,10.0,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-roosevelt,ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,,,,,,Theodore Roosevelt - African Game Trails (Signed First Edition),,2020-03-01,19500.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-03.
rally-shkspr4,SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,,,,,,"Shakespeare - Comedies, Histories & Tragedies",,2020-07-01,115000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-07.
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,Rolex,Submariner,,,,,,2019-11-01,34500.0,36100.0,,18.05,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,,,,Omega Speedmaster Silver Snoopy,,2020-04-01,25500.0,27500.0,,13.75,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-04.
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,Hermes,Birkin,,30,,So Black,,2020-09-01,56000.0,35050.0,,35.05,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,,,,BCQ-24 Stegosaurus Skeleton,,2024-12-01,13750000.0,,,,,,200000.0,,sold,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.
rally-tkam,TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),books,rare books,,,,,,Harper Lee - To Kill a Mockingbird (Signed First Edition),,2020-10-01,32000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-10.
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,,,,Tornek-Rayville TR-900,,2020-11-01,165000.0,77550.0,,2.35,,,33000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-treasure,TREASURE,Treasure Island (First Edition),books,rare books,,,,,,Treasure Island (First Edition),,2022-05-01,22500.0,,,,,,4500.0,,trading,,,Currently trading. Submitted offering_date was 2022-05.
rally-twocities,TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),books,rare books,,,,,,Charles Dickens - A Tale of Two Cities (First Edition),,2019-11-01,14500.0,,,,,,200.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-ulysses,ULYSSES,James Joyce - Ulysses (Matisse Signed),books,rare books,,,,,,James Joyce - Ulysses (Matisse Signed),,2020-03-01,25500.0,,,,,,500.0,,trading,,,Currently trading. Submitted offering_date was 2020-03.
rally-walden,WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,,,,,,Henry David Thoreau - Walden (First Edition),,2021-05-01,20500.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-05.
rally-wildthing,WILDTHING,Where the Wild Things Are (Inscribed First Edition),books,rare books,,,,,,Where the Wild Things Are (Inscribed First Edition),,2021-10-01,18000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-10.
rally-wzrdofoz,WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,,,,,,The Wonderful Wizard of Oz (First Edition),,2021-04-01,90000.0,,,,,,6000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-yoko,YOKO,Yoko Ono - Grapefruit (Signed First Edition),books,rare books,,,,,,Yoko Ono - Grapefruit (Signed First Edition),,2020-05-01,16000.0,,,,,,200.0,,trading,,,Currently trading. Submitted offering_date was 2020-05.
